	LncRNA name	Synonyms	Ensembl ID	Refseq ID	Position	Cancer name	ICD-0-3-T	ICD-0-3-M	Methods	Sample (tissue/ cell line)	Expression pattern	Functional description	PubMed ID	Year	Title
290	ENST00000435885	ENST00000435885	N/A	N/A	N/A	esophageal squamous cell carcinoma	C15	M8070/3	microarray, qPCR etc.	OSCC tissue	differential expression	we identified a three-lncRNA signature (including the lncRNAs ENST00000435885.1, XLOC_013014 and ENST00000547963.1) which classified the patients into two groups with significantly different overall survival . The signature was applied to the test group (median survival 21.5 months vs >60 months, p=0.0030) and independent cohort (median survival 25.8 months vs >48 months, p=0.0187) and showed similar prognostic values in both.	24522499	2014	LncRNA profile study reveals a three-lncRNA signature associated with the survival of patients with oesophageal squamous cell carcinoma.
291	ENST00000436616	ENST00000436616; BM996025.1; AC009948.5-006	ENST00000436616	N/A	chr2:178413999-178434091	astrocytoma		M9400/3 	qPCR ect.	astrocytoma tissues	up-regulated	Our analysis ultimately generated a list of 7 lncRNAs that were differentially expressed in astrocytomas in comparison to the NAT samples. Among these lncRNAs, ENST00000244906, ENST00000545440, NR_002809 and ENST00000436616 were shown to be upregulated by a factor greater than twofold, whereas 3 lncRNAs, XLOC_010967, BC002811 and ASO1937, were shown to be downregulated by a factor greater than twofold.	26252651	2016	The Use of Three Long Non-Coding RNAs as Potential Prognostic Indicators of Astrocytoma.
292	ENST00000442037	H19-015; ENST00000442037	ENST00000442037	N/A	chr11:1995176-1996191	lung adenocarcinoma	C34	M8140/3	microarray, qPCR etc.	lung adenocarcinoma tissue	down-regulated	The remaining 10 lncRNAs, showed significantly different expression in the tumor samples. For 9 of these, expression was altered in the same direction as had been detected by microarray analysis (8 lower, and 1 higher, than NT samples; all p < 0.001; ).differentially expressed lncRNAs in early stage lung adenocarcinoma and suggest that lncRNAs may be novel candidate biomarkers for the early detection of this disease.	25758555	2015	Identification of biomarkers for the detection of early stage lung adenocarcinoma by microarray profiling of long noncoding RNAs.
293	ENST00000445734	TDGF1P1-001; ENST00000445734	ENST00000445734	N/A	chrX:38395369-38395895	endometrial carcinoma		M8380/3	microarray, qPCR etc.	endometrial carcinoma tissue	up-regulated	The results showed that seven of these lncRNAs were in accordance with microarray data, including three up-regulated lncRNAs (uc003xut., uc021re1.1, ENST00000445734) and four down-regulated ones (uc002nbr.3, ENST00000502941, ENST00000448093, ENST00000503710). 	26131074	2015	Expression profile of long non-coding RNAs is altered in endometrial cancer.
294	ENST00000448093	ZNRD1-AS1-007; ENST00000448093	ENST00000448093	N/A	chr6:30001011-30061143	endometrial carcinoma		M8380/3	microarray, qPCR etc.	endometrial carcinoma tissue	down-regulated	The results showed that seven of these lncRNAs were in accordance with microarray data, including three up-regulated lncRNAs (uc003xut., uc021re1.1, ENST00000445734) and four down-regulated ones (uc002nbr.3, ENST00000502941, ENST00000448093, ENST00000503710). 	26131074	2015	Expression profile of long non-coding RNAs is altered in endometrial cancer.
295	ENST00000453068	CYP51A1-AS1-001; ENST00000453068	ENST00000453068	N/A	chr7:92134604-92180725	renal cell carcinoma	C64.9		microarray, qPCR etc.	RCC tissue	down-regulated	We chose the lncRNAs AK096725 (upregulated) and ENST00000453068 (downregulated) to confirm their differential expression levels in 70 paired RCC tissues and adjacent non-tumor tissues. Levels of AK096725 were significantly greater in RCC tissues while those of ENST00000453068 was significantly lower compared to the non-tumor tissues. These results are consistent with the microarray data.	24905231	2014	Expression pattern of long non-coding RNAs in renal cell carcinoma revealed by microarray.
296	ENST00000455912	ASHG19A3A034382; ENST00000455912; RP11-1217F2.3-001	ENST00000455912	N/A	chr7:57167880-57168651	gastric cardia adenocarcinoma	C16.0		microarray, qPCR etc.	gastric cancer tissue	up-regulated	We found that ASHG19A3A029791, ASHG19A3A034382, ASHG19A3A028003, ASHG19A3A013479, ASHG19A3A022744, ASHG19A3A025864, ASHG19A3A043106 and ASHG19A3A03455, were up-regulated, and ASHG19A3A007791, ASHG19A3A050006, ASHG19A3A051125, ASHG19A3A011053 were down-regulated in the GCa samples compared with normal samples. Thus, the results from the qPCR analysis and the microarray data analysis were consistent (p < 0.05).	24414129	2014	Microarray expression profile analysis of long non-coding RNAs of advanced stage human gastric cardia adenocarcinoma.
297	ENST00000456007	ASHG19A3A013479; ENST00000456007; AL133244.1-001	ENST00000456007	N/A	chr2:33056333-33063113	gastric cardia adenocarcinoma	C16.0		microarray, qPCR etc.	gastric cancer tissue	up-regulated	We found that ASHG19A3A029791, ASHG19A3A034382, ASHG19A3A028003, ASHG19A3A013479, ASHG19A3A022744, ASHG19A3A025864, ASHG19A3A043106 and ASHG19A3A03455, were up-regulated, and ASHG19A3A007791, ASHG19A3A050006, ASHG19A3A051125, ASHG19A3A011053 were down-regulated in the GCa samples compared with normal samples. Thus, the results from the qPCR analysis and the microarray data analysis were consistent (p < 0.05).	24414129	2014	Microarray expression profile analysis of long non-coding RNAs of advanced stage human gastric cardia adenocarcinoma.
298	ENST00000456185	ASHG19A3A022744; ENST00000456185; RP11-24H1.1-001	ENST00000456185	N/A	chr3:62926371-62926882	gastric cardia adenocarcinoma	C16.0		microarray, qPCR etc.	gastric cancer tissue	up-regulated	We found that ASHG19A3A029791, ASHG19A3A034382, ASHG19A3A028003, ASHG19A3A013479, ASHG19A3A022744, ASHG19A3A025864, ASHG19A3A043106 and ASHG19A3A03455, were up-regulated, and ASHG19A3A007791, ASHG19A3A050006, ASHG19A3A051125, ASHG19A3A011053 were down-regulated in the GCa samples compared with normal samples. Thus, the results from the qPCR analysis and the microarray data analysis were consistent (p < 0.05).	24414129	2014	Microarray expression profile analysis of long non-coding RNAs of advanced stage human gastric cardia adenocarcinoma.
299	ENST00000456816	LINC00887-004; ENST00000456816	ENST00000456816	N/A	chr3:194296465-194312704	clear cell renal cell carcinoma	C64.9	M8005/0	microarray, qPCR etc.	renal clear cell carcinoma tissue	up-regulated	ENST00000456816, X91348, BC029135, NR_024418 were evaluated by qPCR in sixty-three pairs of RCCC and NT samples. The results demonstrated that ENST00000456816, X91348 were up-regulated and BC029135, NR_024418 were down-regulated in RCCC samples compared with NT samples (p<0.001 for each lncRNAs).	22879955	2012	LncRNAs expression signatures of renal clear cell carcinoma revealed by microarray.
300	ENST00000460164	RP11-731F5.2-002; ENST00000460164	ENST00000460164	N/A	chr14:105644496-105648555	triple-negative breast cancer	C50		microarray, qPCR etc.	triple-negative breast cancer tissue	up-regulated	We found that the expression levels of TCONS_l2_00003938, ENST00000460164, ENST00000425295, MALAT1 and HOTAIR were significantly higher in tumor tissues than non-tumor tissues, whereas there were no significant differences in the expression levels of the other 3 lncRNAs. Our study identified a set of lncRNAs that were consistently aberrantly expressed in TNBC, and these dysregulated lncRNAs may be involved in the development and/or progression of TNBC.	25996380	2015	Microarray Expression Profiling of Dysregulated Long Non-Coding RNAs in Triple-Negative Breast Cancer.
301	ENST00000468960	AC004893.11-002; ENST00000468960	ENST00000468960	N/A	chr7:99032927-99048087	colorectal cancer	C19.9		microarray, qPCR etc.	cell line (HCT116)	down-regulated	To validate the microarray results, we randomly selected 6 differentially expressed lncRNAs (TCONS_00026506, ENST00000468960, NR_038990, ENST00000575202, ENST00000539009 and ENST00000544591) between CRR-HCT116 and parental HCT116 cells to confirm their expression levels by qPCR. Changes in lncRNA expression are involved in 5-FU-based CRR in CRC cells. 	25921151	2015	Microarray Analysis of Long Non-coding RNA Expression Profile Associated with 5-Fluorouracil-Based Chemoradiation Resistance in Colorectal Cancer Cells.
302	ENST00000480739	RPL13AP23-001; ENST00000480739	ENST00000480739	N/A	chr12:57674665-57675250	pancreatic ductal adenocarcinoma	C25.3	M8500/3	qPCR, Western blot, Luciferase reporter assay, ELISA etc.	PDAC tissue	down-regulated	We determined that the ENST00000480739 expression level was remarkably decreased in tumorous tissues compared with their corresponding non-tumorous tissues. The expression of ENST00000480739 was negatively associated with tumour node metastasis stage and lymph node metastasis. Overexpression of ENST00000480739 significantly increased both mRNA and protein levels of OS-9, and the luciferase assays confirmed that ENST00000480739 positively regulates OS-9 by activating the transcription level of the OS-9 promoter. We further found that ENST00000480739 may target hypoxia-inducible factor-1a (HIF-1a) expression by upregulating OS-9.	25314054	2014	A novel long non-coding RNA ENST00000480739 suppresses tumour cell invasion by regulating OS-9 and HIF-1a in pancreatic ductal adenocarcinoma.
303	ENST00000501583	ENST00000501583	N/A	N/A	N/A	hepatocellular carcinoma	C22.0	M8170/3	microarray, qPCR etc.	HCC tissue	down-regulated	To validate the microarray analysis results, five lncRNAs were randomly selected from the differential lncRNAs and their expressions were analyzed using qPCR in 29 pairs of HCC and matched NT tissues. Our data indicated that the expressions of TCONS_00018278, AK093543, D16366 and ENST00000501583 were significantly downregulated in HCC, whereas the expression of NR_002819 showed no significant difference.	24876753	2014	LncRNAs expression signatures of hepatocellular carcinoma revealed by microarray.
304	ENST00000502941	HAND2-AS1-014; ENST00000502941	ENST00000502941	N/A	chr4:173530458-173541830	endometrial carcinoma		M8380/3	microarray, qPCR etc.	endometrial carcinoma tissue	down-regulated	The results showed that seven of these lncRNAs were in accordance with microarray data, including three up-regulated lncRNAs (uc003xut., uc021re1.1, ENST00000445734) and four down-regulated ones (uc002nbr.3, ENST00000502941, ENST00000448093, ENST00000503710). 	26131074	2015	Expression profile of long non-coding RNAs is altered in endometrial cancer.
305	ENST00000503710	CTC-558O19.1-001; ENST00000503710	ENST00000503710	N/A	chr5:94979151-94980893	endometrial carcinoma		M8380/3	microarray, qPCR etc.	endometrial carcinoma tissue	down-regulated	The results showed that seven of these lncRNAs were in accordance with microarray data, including three up-regulated lncRNAs (uc003xut., uc021re1.1, ENST00000445734) and four down-regulated ones (uc002nbr.3, ENST00000502941, ENST00000448093, ENST00000503710). 	26131074	2015	Expression profile of long non-coding RNAs is altered in endometrial cancer.
306	ENST00000503723	TRIM36-IT1-001; ENST00000503723	ENST00000503723	N/A	chr5:115148764-115149644	papillary thyroid carcinoma	C73.9	M8260/3	microarray, qPCR etc.	PTC tissues	up-regulated	To verify the microarray data, 8 differentially expressed lncRNAs, including 4 upregulated (ENST00000503723, ENST00000423539, uc003tab.3 and NR_073085) and 4 downregulated (ENST00000515275, ENST00000570022, uc003qef.1 and ENST00000427243) lncRNAs, were randomly selected for RT-qPCR in 33 pairs of PTC and adjacent noncancerous tissues. 	27347178	2016	Long noncoding RNA are aberrantly expressed in human papillary thyroid carcinoma.
307	ENST00000503812	RP11-93O17.1-001; ENST00000503812	ENST00000503812	N/A	chr5:99499070-99499203	cervical cancer	C53		microarray, qPCR, RNAi etc.	cell line (SiHa) 	up-regulated	Up-regulation of ENST00000503812 may inhibit RAD51B and IL-28A expression and result in deficiency of DNA repair pathway and immune responses in HPV-16 positive cervical cancer cell. 	27363024	2016	Comprehensive analysis of lncRNAs microarray profile and mRNA-lncRNA co-expression in oncogenic HPV-positive cervical cancer cell lines.
308	ENST00000503938	LINC01096-002; ENST00000503938	ENST00000503938	N/A	chr4:13546075-13546964	triple-negative breast cancer	C50		microarray, qPCR etc.	TNBC tissue	down-regulated	The results demonstrated that lncRNAs NONHSAT125629 and ENST00000503938 were upregulated and that XR_250621.1 and NONHSAT012762 were down-regulated in the tumor samples compared with NT samples. These qPCR results are consistent with the microarray data.	26078338	2015	Identification of novel long non-coding RNAs in triple-negative breast cancer.
309	ENST00000507950	CTD-2247C11.5-001; ENST00000507950	ENST00000507950	N/A	chr5:5069192-5078311	renal cell carcinoma	C64.9		microarray, qPCR etc.	RCC tissue	down-regulated	From five paired samples we identified hundreds of significantly differentiated lncRNAs. Specifically, the most upregulated lncRNAs were: uc001vjj.1, ENST00000414223, BC047917, uc003erl.1, and uc009wkz.1, of which uc001vjj.1 was the highest. The most highly downregulated were: ENST00000507950, uc001aka.2, NR_026860, NR_024256, and BC070168, of which ENST00000507950 showed the largest downregulation.	24905231	2014	Expression pattern of long non-coding RNAs in renal cell carcinoma revealed by microarray.
310	ENST00000515275	APELA-002; ENST00000515275	ENST00000515275	N/A	chr4:164877194-164879256	papillary thyroid carcinoma	C73.9	M8260/3	microarray, qPCR etc.	PTC tissues	down-regulated	To verify the microarray data, 8 differentially expressed lncRNAs, including 4 upregulated (ENST00000503723, ENST00000423539, uc003tab.3 and NR_073085) and 4 downregulated (ENST00000515275, ENST00000570022, uc003qef.1 and ENST00000427243) lncRNAs, were randomly selected for RT-qPCR in 33 pairs of PTC and adjacent noncancerous tissues. 	27347178	2016	Long noncoding RNA are aberrantly expressed in human papillary thyroid carcinoma.
311	ENST00000539009	RP11-277P12.10-001; ENST00000539009	ENST00000539009	N/A	chr12:10332861-10338292	colorectal cancer	C19.9		microarray, qPCR etc.	cell line (HCT116)	down-regulated	To validate the microarray results, we randomly selected 6 differentially expressed lncRNAs (TCONS_00026506, ENST00000468960, NR_038990, ENST00000575202, ENST00000539009 and ENST00000544591) between CRR-HCT116 and parental HCT116 cells to confirm their expression levels by qPCR. Changes in lncRNA expression are involved in 5-FU-based CRR in CRC cells. 	25921151	2015	Microarray Analysis of Long Non-coding RNA Expression Profile Associated with 5-Fluorouracil-Based Chemoradiation Resistance in Colorectal Cancer Cells.
312	ENST00000540136	RP11-598F7.5-001; ENST00000540136	ENST00000540136	N/A	chr12:164664-166321	lung adenocarcinoma	C34	M8140/3	microarray, qPCR etc.	lung adenocarcinoma tissue	down-regulated	The remaining 10 lncRNAs, showed significantly different expression in the tumor samples. For 9 of these, expression was altered in the same direction as had been detected by microarray analysis (8 lower, and 1 higher, than NT samples; all p < 0.001; ).differentially expressed lncRNAs in early stage lung adenocarcinoma and suggest that lncRNAs may be novel candidate biomarkers for the early detection of this disease.	25758555	2015	Identification of biomarkers for the detection of early stage lung adenocarcinoma by microarray profiling of long noncoding RNAs.
313	ENST00000544591	RP11-291B21.2-001; ENST00000544591	ENST00000544591	N/A	chr12:10553363-10558049	colorectal cancer	C19.9		microarray, qPCR etc.	cell line (HCT116)	down-regulated	To validate the microarray results, we randomly selected 6 differentially expressed lncRNAs (TCONS_00026506, ENST00000468960, NR_038990, ENST00000575202, ENST00000539009 and ENST00000544591) between CRR-HCT116 and parental HCT116 cells to confirm their expression levels by qPCR. Changes in lncRNA expression are involved in 5-FU-based CRR in CRC cells. 	25921151	2015	Microarray Analysis of Long Non-coding RNA Expression Profile Associated with 5-Fluorouracil-Based Chemoradiation Resistance in Colorectal Cancer Cells.
314	ENST00000545440	ENST00000545440; SNHG1-014; CK429701	ENST00000545440	N/A	chr11:62852252-62855488	astrocytoma		M9400/3 	qPCR ect.	astrocytoma tissues	up-regulated	Our analysis ultimately generated a list of 7 lncRNAs that were differentially expressed in astrocytomas in comparison to the NAT samples. Among these lncRNAs, ENST00000244906, ENST00000545440, NR_002809 and ENST00000436616 were shown to be upregulated by a factor greater than twofold, whereas 3 lncRNAs, XLOC_010967, BC002811 and ASO1937, were shown to be downregulated by a factor greater than twofold.	26252651	2016	The Use of Three Long Non-Coding RNAs as Potential Prognostic Indicators of Astrocytoma.
315	ENST00000547963	LINC01234-002; ENST00000547963	ENST00000547963	N/A	chr12:113744577-113773683	esophageal squamous cell carcinoma	C15	M8070/3	microarray, qPCR etc.	OSCC tissue	differential expression	we identified a three-lncRNA signature (including the lncRNAs ENST00000435885.1, XLOC_013014 and ENST00000547963.1) which classified the patients into two groups with significantly different overall survival . The signature was applied to the test group (median survival 21.5 months vs >60 months, p=0.0030) and independent cohort (median survival 25.8 months vs >48 months, p=0.0187) and showed similar prognostic values in both.	24522499	2014	LncRNA profile study reveals a three-lncRNA signature associated with the survival of patients with oesophageal squamous cell carcinoma.
316	ENST00000564977	ENST00000564977	ENST00000564977	N/A	N/A	cervical cancer	C53		microarray, qPCR, RNAi etc.	cell line (HeLa) 	up-regulated	Up-regulation of ENST00000420168, ENST00000564977 and down-regulation of TCONS_00010232 might stimulate FOXQ1 expression and suppress CASP3 expression in HPV-18 positive cervical cancer cell, which lead to HPV-induced proliferation and deficiency in apoptosis.	27363024	2016	Comprehensive analysis of lncRNAs microarray profile and mRNA-lncRNA co-expression in oncogenic HPV-positive cervical cancer cell lines.
317	ENST00000570022	LA16c-329F2.1-001; ENST00000570022	ENST00000570022	N/A	chr16:1713527-1714208	papillary thyroid carcinoma	C73.9	M8260/3	microarray, qPCR etc.	PTC tissues	down-regulated	To verify the microarray data, 8 differentially expressed lncRNAs, including 4 upregulated (ENST00000503723, ENST00000423539, uc003tab.3 and NR_073085) and 4 downregulated (ENST00000515275, ENST00000570022, uc003qef.1 and ENST00000427243) lncRNAs, were randomly selected for RT-qPCR in 33 pairs of PTC and adjacent noncancerous tissues. 	27347178	2016	Long noncoding RNA are aberrantly expressed in human papillary thyroid carcinoma.
318	ENST00000575202	CTD-2377D24.6-003; ENST00000575202	ENST00000575202	N/A	chr17:48646929-48704422	colorectal cancer	C19.9		microarray, qPCR etc.	cell line (HCT116)	down-regulated	To validate the microarray results, we randomly selected 6 differentially expressed lncRNAs (TCONS_00026506, ENST00000468960, NR_038990, ENST00000575202, ENST00000539009 and ENST00000544591) between CRR-HCT116 and parental HCT116 cells to confirm their expression levels by qPCR. Changes in lncRNA expression are involved in 5-FU-based CRR in CRC cells. 	25921151	2015	Microarray Analysis of Long Non-coding RNA Expression Profile Associated with 5-Fluorouracil-Based Chemoradiation Resistance in Colorectal Cancer Cells.
319	EPB41L4A-AS2	FLJ11235; EPB41L4A-AS2	ENSG00000278921	NR_027706	chr5:112419583-112420978	breast cancer	C50		qPCR, Flow cytometry assay etc.	cell lines (MDA-MB-231, A549 and 786-O)	down-regulated	we investigated the expression of EPB41L4A-AS2 in breast cancer tissues and evaluated its relationship with the clinicopathological features and prognosis of patients with breast cancer. This entailed conducting a meta-analysis and prognosis validation study using two cohorts from the Gene Expression Omnibus (GEO). In addition, we assessed EPB41L4A-AS2 expression and its relationship with the clinicopathological features of renal and lung cancers using the Cancer Genome Atlas cohort and a GEO dataset. We also clarified the role of EPB41L4A-AS2 expression in mediating cancer cell proliferation in breast, renal, and lung cancer cell lines transfected with an EPB41L4A-AS2 expression vector. We found that high EPB41L4A-AS2 expression is associated with favorable disease outcomes. Gene ontology enrichment analysis revealed that EPB41L4A-AS2 may be involved in processes associated with tumor biology. Finally, overexpression of EPB41L4A-AS2 inhibited tumor cell proliferation in breast, renal, and lung cancer cell lines	26980733	2016	The long non-coding RNA EPB41L4A-AS2 inhibits tumor proliferation and is associated with favorable prognoses in breast cancer and other solid tumors
320	Epist	Epist; C5orf66-AS1; CTC-276P9.1	ENSG00000249082	NR_105049	chr5:135038831-135040047	esophageal squamous cell carcinoma	C15	M8070/3	microarray, qPCR etc.	cell lines (KYSE510, KYSE450, KYSE150, KYSE30, EC109, TE-1) 	down-regulated	We identified a novel nuclear-retained lncRNA, named Epist, which is generally highly expressed in esophagus, and which is down-regulated during ESCC progression. Epist over-expression and knockdown studies further suggest that Epist inhibits the metastasis, acting as a tumor suppressor in ESCC. Collectively	26158411	2015	Transcriptome profiling of esophageal squamous cell carcinoma reveals a long noncoding RNA acting as a tumor suppressor
321	ERICH1-AS1	ERICH1-AS1; C8orf68	ENSG00000237647	NR_073397	chr8:737651-1137777	non-small cell lung cancer	C34	M8046/3	microarray, qPCR etc.	NSCLC tissue	up-regulated	We discovered that three lncRNAs (RP11-397D12.4, AC007403.1, and ERICH1-AS1) were up regulated in NSCLC, compared with cancer-free controls. RP11-397D12.4, AC007403.1, and ERICH1-AS1 may be potential biomarkers for predicting the tumorigenesis of NSCLC in the future.	26393913	2015	Three circulating long non-coding RNAs act as biomarkers for predicting NSCLC.
322	ESCCAL-1	ESSCAL1; ESCCAL-1; LINC00981; CASC9	ENSG00000249395	NR_103848	chr8:75223404-75324741	esophageal squamous cell carcinoma	C15	M8070/3	microarray, qPCR etc.	ESCC tissue	up-regulated	The increased and differential expression of HOTAIR, ESCCAL-1 and ESCCAL-5 in ESCC tissue relative to adjacent nonneoplastic tissue was independently assessed with PCR methods in matched-pair tissue samples from three additional ESCC patients and the results are consistent with the microarray analysis. 	24222893	2013	Integrated analysis of long noncoding RNA and coding RNA expression in esophageal squamous cell carcinoma.
323	ESCCAL-5	ESCCAL-5	N/A	N/A	N/A	esophageal squamous cell carcinoma	C15	M8070/3	microarray, qPCR etc.	ESCC tissue	up-regulated	The increased and differential expression of HOTAIR, ESCCAL-1 and ESCCAL-5 in ESCC tissue relative to adjacent nonneoplastic tissue was independently assessed with PCR methods in matched-pair tissue samples from three additional ESCC patients and the results are consistent with the microarray analysis. 	24222893	2013	Integrated analysis of long noncoding RNA and coding RNA expression in esophageal squamous cell carcinoma.
324	EVI1	EVI1; MDS1; PRDM3; RUSAT2; MDS1-EVI1; AML1-EVI-1; MECOM 	ENSG00000085276	N/A	chr3:169083499-169663618	hepatocellular carcinoma	C22.0	M8170/3	qPCR, Western blot, Luciferase reporter assay etc.	HCC tissues	up-regulated	Our findings suggest that EVI1 is frequently up-regulated and regulates a cluster of lncRNAs in HBV-related hepatocellular carcinoma (HCC). These findings highlight a novel mechanism for HBx-induced hepatocarcinogenesis through transcription factor EVI1 and its target lncRNAs, and provide a potential new approach to predict the functions of lncRNAs	26967394	2016	EVI1 promotes cell proliferation in HBx-induced hepatocarcinogenesis as a critical transcription factor regulating lncRNAs
325	EWSAT1	EWSAT1; TMEM84, FLJ33768, NCRNA00277, LINC00277	ENSG00000212766	NR_026949	chr15: 69072926-69095820	Ewing sarcoma		M9260/3	microarray, qPCR, Western blot, RIP etc.	cell lines (pMPCs, PSS090 and TC71)	up-regulated 	Expression of EWS-FLI1 and EWSAT1 repressed gene expression, and a substantial fraction of targets that were repressed by EWS-FLI1 were also repressed by EWSAT1. Analysis of RNAseq data from primary human Ewing sarcoma further supported a role for EWSAT1 in mediating gene repression. We identified heterogeneous nuclear ribonucleoprotein (HNRNPK) as an RNA-binding protein that interacts with EWSAT1 and found a marked overlap in HNRNPK-repressed genes and those repressed by EWS-FLI1 and EWSAT1, suggesting that HNRNPK participates in EWSAT1-mediated gene repression.	25401475	2014	Long noncoding RNA EWSAT1-mediated gene repression facilitates Ewing sarcoma oncogenesis
326	FENDRR	FENDRR; FOXF1-AS1; lincFOXF1; TCONS_00024240	ENSG00000268388	NR_033925	chr16:86474529-86509099	gastric cancer	C16		qPCR, Western blot etc.	gastric cancer tissue, cell lines (MGC803, BGC823, MKN28, MKN45, SGC7901)	down-regulated	FENDRR was downregulated in gastric cancer cell lines and cancerous tissues, as compared with normal gastric epithelial cells and adjacent noncancerous tissue samples. Low FENDRR expression was correlated with deeper tumor invasion, higher tumor stage, and lymphatic metastasis. Histone deacetylation was involved in the downregulation of FENDRR in gastric cancer cells. FENDER overexpression suppressed invasion and migration by gastric cancer cells in vitro, by downregulating FN1 and MMP2/MMP9 expression.	25167886	2014	Decreased expression of the long non-coding RNA FENDRR is associated with poor prognosis in gastric cancer and FENDRR regulates gastric cancer cell metastasis by affecting fibronectin1 expression.
327	FER1L4	FER1L4; C20orf124	ENSG00000088340	NR_119376	chr20:35558737-35607562	gastric cancer	C16		microarray, qPCR etc.	gastric cancer tissue	down-regulated	FER1L4 expression levels in gastric cancer tissues are significantly decreased. The low FER1L4 level were associated with tumor size, histologic grade, general classification, depth of invasion, lymphatic metastasis , distant metastasis, TNM stage, vessel or nerve invasion.FER1L4 might play a crucial role in human gastric cancer and may be a new potential biomarker for clinical prognosis evaluation.	24961353	2014	Clinical significance of the low expression of FER1L4 in gastric cancer patients.
328	FER1L4	FER1L4; C20orf124	ENSG00000088340	NR_119376	chr20:35558737-35607562	gastric cancer	C16		qPCR, Western blot, RNAi etc.	gastric cancer tissue, cell lines (AGS, MGC-803, SGC-7901)	down-regulated	We observed that FER1L4 was downregulated in gastric cancer and that its level corresponded with that of PTEN mRNA. Both FER1L4 and PTEN mRNA were targets of miR-106a-5p. Further experiments demonstrated that FER1L4 downregulation liberates miR-106a-5p and decreases the abundances of PTEN mRNA and protein. More importantly, FER1L4 downregulation accelerated cell proliferation by promoting the G0/G1 to S phase transition.	26306906	2015	Long noncoding RNA FER1L4 suppresses cancer cell growth by acting as a competing endogenous RNA and regulating PTEN expression.
329	FGFR3-AS1	FGFR3-AS1	N/A	N/A	N/A	osteosarcoma		M9180/3	qPCR, Western blot, Luciferase reporter assay etc.	osteosarcoma tissues	up-regulated	The effects of FGFR3-AS1 on osteosarcoma cell proliferation and cell cycle were determined by Cell Counting Kit-8, Ethynyl deoxyuridine incorporation assay and flow cytometry. FGFR3-AS1 was upregulated in osteosarcoma. Increased FGFR3-AS1 expression correlates with large tumor size, advanced Enneking stage, metastasis and poor survival. Through antisense pairing with FGFR3 3'UTR, FGFR3-AS1 increases FGFR3 mRNA stability and upregulates FGFR3 expression. The expression of FGFR3-AS1 and FGFR3 is positively correlated in osteosarcoma tissues. Knockdown of FGFR3-AS1 inhibits the proliferation and cell cycle progression of osteosarcoma cells in vitro. Moreover, knockdown of FGFR3-AS1 inhibits xenograft tumor growth of osteosarcoma cells in vivo.	27022737	2016	Long noncoding RNA FGFR3-AS1 promotes osteosarcoma growth through regulating its natural antisense transcript FGFR3
330	FOXCUT	FOXCUT; LINC01379; TCONS_00011636	ENSG00000280916	NR_125804	chr6:1605531-1606079	basal-like breast cancer	C50	M8090/3	qPCR, RNAi etc.	cell lines (MDA-MB-231, MDA-MB-468)	up-regulated	The results showed that the expression of FOXCUT and FOXC1 were positively correlated. When the expression of FOXCUT was downregulated by small interfering RNA, the expression of FOXC1 was similarly reduced. Furthermore, in MDA-MB-231 and MDA-MB-468 breast cancer cells, knockdown of FOXCUT markedly inhibited cell proliferation and migration in vitro. In conclusion, FOXCUT lncRNA may be functionally involved in the tumor progression of BLBCs through the regulation of its paired mRNA, FOXC1, demonstrating that FOXCUT may serve as a novel biomarker and therapeutic target in BLBCs.	25516208	2014	Forkhead box C1 promoter upstream transcript, a novel long non-coding RNA, regulates proliferation and migration in basal-like breast cancer.
331	FOXCUT	FOXCUT; LINC01379; TCONS_00011636	ENSG00000280916	NR_125804	chr6:1605531-1606079	esophageal squamous cell carcinoma	C15	M8070/3	qPCR, RNAi etc.	esophageal suqmous cell cancer tissue, cell lines (KYSE30, KYSE70, KYSE140, KYSE150, KYSE180 etc.)	up-regulated	Notably elevated FOXCUT and FOXC1 expression levels were observed in cancerous tissues compared to adjacent noncancerous tissues, showing strong correlations with poor differentiation, advanced lymph node classification and metastasis. The expression of FOXCUT was positively correlated with expression of FOXC1 in ESCC specimens. And the expression of FOXC1 was also decreased as the FOXCUT expression was silenced by siRNA. Assays in vitro demonstrated that knockdown of either FOXCUT or FOXC1 remarkably inhibited cell proliferation, colony formation, migration, invasion in ESCC cells.	25031703	2014	A novel long non-coding RNA FOXCUT and mRNA FOXC1 pair promote progression and predict poor prognosis in esophageal squamous cell carcinoma.
332	FOXCUT	FOXCUT; LINC01379; TCONS_00011636	ENSG00000280916	NR_125804	chr6:1605531-1606079	oral squamous cell carcinoma	C06.9	M8070/3 	qPCR, Western blot, RNAi etc.	OSCC tissue, cell lines (Tca8113, OSC-4, SCC1 etc.)	up-regulated	In this study, we report a new lncRNA FOXC1 upstream transcript (FOXCUT) that was remarkably overexpressed in 23 OSCC patients, as was the adjacent FOXC1 gene. The expressions of FOXC1 and FOXCUT were positively correlated. In conclusion, FOXC1 may be co-amplified with FOXCUT in OSCC, and both of them may be functionally involved in the tumor progression of OSCC.	24889262	2014	The expression and functional role of a FOXC1 related mRNA-lncRNA pair in oral squamous cell carcinoma.
